CALLER,CALLED,DAY_DT,DURATION,PRICE,INTERNATIONAL
ben,joe,1924-04-20,43,3.838400870070877,false
pol,sam,1924-04-20,69,8.300253057422292,false
leo,ken,1924-04-20,49,8.012029514457412,false
leo,leo,1924-04-20,27,9.570152759379223,false
van,gio,1924-04-20,63,9.468425827096935,false
kia,kia,1924-04-20,4,9.061020855012398,false
luz,eli,1924-04-20,33,3.9575093073064793,false
rey,noa,1924-04-20,18,5.809940616828298,true
mac,jim,1924-04-20,79,6.376433897225123,false
gio,luz,1924-04-20,1,1.565632519214516,false
ana,ana,1924-04-20,35,6.219439304024706,false
bob,ada,1924-04-20,99,1.484489270249988,false
tom,ken,1924-04-20,17,8.339726458764376,false
zoe,eva,1924-04-20,25,6.327425734729461,false
jim,pau,1924-04-20,76,6.899856604009457,false
noa,ana,1924-04-20,34,6.264219640523735,false
pau,tim,1924-04-20,90,7.2571212410856,true
ada,ada,1924-04-20,95,3.42830244123323,false
luz,luz,1924-04-20,50,9.086857974682255,true
bob,noa,1924-04-20,67,9.214536335826686,false
fox,ken,1924-04-20,30,8.961347553610201,true
leo,riu,1924-04-20,96,3.6520710812204813,false
zoe,mar,1924-04-20,61,3.708550629686406,false
max,pau,1924-04-20,85,9.223745241517582,false
eli,jim,1924-04-20,70,5.467471135630722,false
ana,pau,1924-04-20,54,5.624391385072556,false
sam,ben,1924-04-20,38,3.388765273103358,false
eva,ana,1924-04-20,88,8.568577894400795,false
pau,jim,1924-04-20,12,8.484612258051364,false
kia,mac,1924-04-20,39,8.460562611371431,false
ada,jim,1924-04-20,75,3.521477256550778,false
luz,gio,1924-04-20,42,0.8837296147719065,true
tom,noa,1924-04-20,96,8.330289913063236,false
pol,teo,1924-04-20,96,2.1534505497440093,false
teo,noa,1924-04-20,66,7.553678770113583,true
pol,eli,1924-04-20,79,1.8044416384701922,true
tom,kia,1924-04-20,91,3.6314060929776115,true
sam,ken,1924-04-20,24,2.161327057567757,false
zoe,ada,1924-04-20,69,5.996510951223478,true
eva,rey,1924-04-20,30,6.129237601280244,false
gio,joe,1924-04-20,62,8.137968115979747,false
riu,zoe,1924-04-20,35,5.018867893207001,false
max,riu,1924-04-20,1,6.628495919625163,false
ada,eva,1924-04-20,19,5.969837192648388,false
max,van,1924-04-20,98,8.67200579983379,false
noa,mac,1924-04-20,85,6.824220340112274,true
tim,joe,1924-04-20,3,6.199764736256298,false
rey,mar,1924-04-20,44,3.854380628538623,false
max,ken,1924-04-20,97,0.47820309011266104,false
jim,leo,1924-04-20,22,1.9884600432840327,false
ben,leo,1924-04-20,65,9.973960910071732,false
ben,ana,1924-04-20,87,9.249767958938396,false
ken,pol,1924-04-20,79,5.7546463311765645,false
gio,ben,1924-04-20,34,1.2428085594336569,false
sam,leo,1924-04-20,25,2.0826760249586593,false
ben,noa,1924-04-20,7,1.7470023192358664,false
zoe,max,1924-04-20,0,3.8799964182818956,true
gio,ben,1924-04-20,8,3.168793617615413,false
ken,riu,1924-04-20,7,0.09497011793135335,false
tim,ana,1924-04-20,30,4.279795450746833,false
eva,sam,1924-04-20,1,8.847980262783018,false
pol,rey,1924-04-20,96,3.1974705952180713,false
ana,kia,1924-04-20,31,6.48367306535866,true
noa,max,1924-04-20,48,2.6193263061727787,false
sam,rey,1924-04-20,45,2.512108849781305,false
tim,luz,1924-04-20,94,8.024636247038744,false
eli,noa,1924-04-20,53,6.903210570355284,false
luz,jim,1924-04-20,28,2.191182405705905,false
teo,joe,1924-04-20,79,1.2810307259852483,false
pau,pau,1924-04-20,39,6.1368811297804715,false
teo,ada,1924-04-20,98,4.66158555836088,false
pau,sam,1924-04-20,27,1.0004675015282138,false
rey,fox,1924-04-20,24,2.1980208607150553,false
joe,riu,1924-04-20,66,6.9507875381203945,true
ana,eva,1924-04-20,57,9.709447802817078,false
riu,tim,1924-04-20,92,8.228979439033953,false
noa,rey,1924-04-20,97,4.229233297346604,false
rey,ken,1924-04-20,30,0.5452167284561105,false
joe,gio,1924-04-20,86,5.213131777655756,false
tim,joe,1924-04-20,34,6.49837860469019,true
joe,teo,1924-04-20,26,5.050247257901458,false
pol,tim,1924-04-20,75,6.4905227746034955,false
van,gio,1924-04-20,40,8.24384031153619,false
max,tim,1924-04-20,49,9.667635133451581,false
eli,eli,1924-04-20,27,6.755442136459785,false
leo,rey,1924-04-20,46,8.928412203910314,false
zoe,rey,1924-04-20,48,0.791926831527503,false
rey,mar,1924-04-20,98,4.6664908392826625,false
kia,mar,1924-04-20,35,8.498626660366398,false
gio,leo,1924-04-20,19,8.454447839234584,false
pol,zoe,1924-04-20,13,2.8257067933532753,false
eli,mac,1924-04-20,83,4.764763301725928,false
gio,tom,1924-04-20,43,3.8984083152024116,false
noa,bob,1924-04-20,81,8.846365411087637,true
eli,ana,1924-04-20,94,9.921324428491896,false
tom,van,1924-04-20,56,2.1416047090528245,true
zoe,bob,1924-04-20,0,6.036753109873256,true
ada,noa,1924-04-20,24,4.9142936648805255,false
tim,luz,1924-04-20,26,6.058039189597013,false
ken,ken,1924-04-20,47,2.379634994418959,false
van,pol,1924-04-20,31,2.0329397847622745,true
eva,van,1924-04-20,29,3.1988325660868577,false
riu,bob,1924-04-20,53,7.752757482644763,false
max,fox,1924-04-20,49,5.03778167233593,false
mar,zoe,1924-04-20,37,8.67458286477765,false
ada,van,1924-04-20,56,5.340609488841185,false
mac,gio,1924-04-20,28,7.693441408944927,false
zoe,leo,1924-04-20,78,7.314708115683422,false
ben,joe,1924-04-20,15,4.30886959653855,true
luz,gio,1924-04-20,41,2.8789793067303915,false
zoe,pau,1924-04-20,36,7.118109455519629,true
eva,eli,1924-04-20,94,6.169126958257598,true
gio,teo,1924-04-20,1,1.2203527752753884,true
tom,teo,1924-04-20,14,8.155317932166056,false
leo,teo,1924-04-20,41,8.877608048772125,false
gio,mac,1924-04-20,39,1.0283690471217655,false
eli,mac,1924-04-20,60,0.27445157883891014,false
jim,sam,1924-04-20,32,9.557893654259644,false
tom,pau,1924-04-20,10,7.799957545537577,false
fox,van,1924-04-20,6,7.986791701499164,true
luz,van,1924-04-20,9,8.10527221621899,false
mar,riu,1924-04-20,1,3.5375120530684576,false
eva,zoe,1924-04-20,87,9.104449521736678,false
ada,eva,1924-04-20,1,7.563135368351347,false
eli,leo,1924-04-20,62,1.7350467303389705,false
mac,mac,1924-04-20,39,6.429092753637863,false
mac,ada,1924-04-20,50,6.398736233304499,false
mar,joe,1924-04-20,66,8.118403337932975,false
joe,pol,1924-04-20,51,3.9237874982142618,false
ana,pau,1924-04-20,44,0.45548890161662414,false
pau,ken,1924-04-20,65,5.8766612258590385,false
teo,tim,1924-04-20,72,5.021833985192382,false
teo,tim,1924-04-20,74,8.560102771344287,true
joe,eli,1924-04-20,76,6.255866007573504,false
eva,pol,1924-04-20,18,1.4765155865440105,false
gio,luz,1924-04-20,2,5.853082448661491,true
noa,teo,1924-04-20,13,2.809911835281623,false
joe,bob,1924-04-20,19,3.2559859187301488,false
joe,rey,1924-04-20,20,4.698690229617425,false
pol,noa,1924-04-20,51,1.0329095881544237,false
pol,noa,1924-04-20,77,1.4147615348699738,false
ada,tim,1924-04-20,51,5.337346907834183,false
zoe,sam,1924-04-20,96,2.8928086328714677,false
van,tim,1924-04-20,74,1.3526193944129172,false
ken,van,1924-04-20,24,6.430351469949345,false
leo,mar,1924-04-20,85,3.826444712300078,true
kia,kia,1924-04-20,67,3.367655876150436,false
mar,rey,1924-04-20,8,9.199716545644732,false
noa,kia,1924-04-20,53,3.968061920278524,false
pau,fox,1924-04-20,20,9.13531954643531,false
fox,ada,1924-04-20,20,5.375033730439725,true
leo,ada,1924-04-20,86,5.510204044673825,false
luz,ben,1924-04-20,8,6.494202323535775,false
pau,kia,1924-04-20,20,4.688795107072967,false
bob,kia,1924-04-20,71,9.547960660694196,false
pau,eva,1924-04-20,13,5.944220634556671,true
riu,mar,1924-04-20,59,7.694267760409742,true
eva,mac,1924-04-20,95,5.8524168415348345,false
tim,joe,1924-04-20,66,8.118917042303938,false
gio,fox,1924-04-20,93,8.029475821718107,false
leo,mac,1924-04-20,18,2.052044216673857,false
ana,ben,1924-04-20,81,3.0962826018298752,false
luz,mac,1924-04-20,55,8.183584480716114,true
fox,fox,1924-04-20,27,1.7727996596433038,false
van,teo,1924-04-20,1,9.153710554540497,false
noa,rey,1924-04-20,72,5.528727951523347,false
van,bob,1924-04-20,3,2.9533783265934033,false
luz,tom,1924-04-20,21,2.720898812948711,false
ada,pol,1924-04-20,15,8.8717025269437,false
mar,mar,1924-04-20,14,6.509322008216689,true
ben,leo,1924-04-20,10,9.009111561145083,false
riu,noa,1924-04-20,51,3.7537867788220405,true
ken,tom,1924-04-20,23,1.2573573388145898,false
joe,mar,1924-04-20,5,1.8965757032437802,false
van,rey,1924-04-20,10,2.62404856160138,true
eli,ken,1924-04-20,98,7.921730752918209,false
jim,mac,1924-04-20,21,1.465669468151215,false
van,ben,1924-04-20,91,5.476642246180061,false
riu,fox,1924-04-20,73,9.042935705169882,true
tom,fox,1924-04-20,10,5.810080111222645,true
van,mac,1924-04-20,50,1.8681353972759096,false
bob,max,1924-04-20,69,8.33140386712355,false
ana,bob,1924-04-20,82,2.798418532192221,false
joe,tom,1924-04-20,4,9.57837769797588,true
van,pol,1924-04-20,52,3.1208022374470143,false
ken,rey,1924-04-20,91,8.593445640516835,false
pau,mac,1924-04-20,53,5.973287809809236,false
jim,tim,1924-04-20,16,0.1550620996867058,true
teo,luz,1924-04-20,4,1.211747775142008,false
joe,sam,1924-04-20,68,4.609665292307483,false
pau,mac,1924-04-20,38,6.110750301227079,true
eva,ada,1924-04-20,15,0.812478886740714,false
zoe,ana,1924-04-20,47,9.816982161646342,false
ken,pau,1924-04-20,62,1.0773136317919974,true
mar,van,1924-04-20,10,0.9651708954155014,true
leo,fox,1924-04-20,0,5.773218629095398,false
van,riu,1924-04-20,58,3.730189643022487,false
tom,pau,1924-04-20,69,4.197906784525496,false
teo,noa,1924-04-20,47,1.144138240635948,false
fox,tom,1924-04-20,13,5.232216728599672,false
riu,ana,1924-04-20,61,1.5252232435916202,false
pau,max,1924-04-20,74,2.9860762150778966,true
luz,tom,1924-04-20,45,2.8606872152332263,false
eva,eva,1924-04-20,8,8.769691905157687,false
jim,pol,1924-04-20,28,7.692819874001363,false
ben,sam,1924-04-20,90,2.11815155865942,false
luz,ana,1924-04-20,85,5.080512072560496,false
sam,rey,1924-04-20,10,2.149110266758405,false
teo,leo,1924-04-20,24,4.765951689676563,false
bob,bob,1924-04-20,6,3.44627475187111,false
fox,tim,1924-04-20,13,7.993933512714854,false
kia,eli,1924-04-20,73,7.645469150118117,false
jim,mac,1924-04-20,45,9.663310329742576,false
ben,ana,1924-04-20,40,7.076877223299077,false
zoe,ken,1924-04-20,76,6.613153263864038,true
tom,tom,1924-04-20,6,1.7530782203852124,false
noa,ada,1924-04-20,78,0.14270482361409043,false
ana,tim,1924-04-20,35,7.092688108883975,true
teo,gio,1924-04-20,82,9.377103808353489,false
bob,teo,1924-04-20,21,2.0690270793233534,false
kia,teo,1924-04-20,6,1.2126403045305356,false
tim,riu,1924-04-20,99,0.7463593606648034,false
kia,leo,1924-04-20,90,3.587117007460745,false
teo,gio,1924-04-20,14,2.9623438724227737,false
luz,gio,1924-04-20,26,2.461115050615165,false
ana,ken,1924-04-20,46,6.69037525923422,true
teo,sam,1924-04-20,47,3.679086927764317,true
sam,ada,1924-04-20,24,4.390471159426687,false
ana,ada,1924-04-20,48,7.027441277527671,true
mac,pau,1924-04-20,35,4.313819368789008,false
jim,noa,1924-04-20,38,2.2169597861648835,false
teo,tom,1924-04-20,85,8.889663111988407,true
bob,van,1924-04-20,90,9.080170814729678,false
ada,sam,1924-04-20,64,8.920335269879464,false
ben,noa,1924-04-20,68,7.032105195607754,false
kia,jim,1924-04-20,66,1.8129976111288304,false
mac,ada,1924-04-20,84,9.27969021029429,false
rey,gio,1924-04-20,90,2.2806324469472927,true
eva,ken,1924-04-20,98,4.088874534679892,false
rey,ben,1924-04-20,40,3.2592195860355124,false
noa,ana,1924-04-20,48,1.6922864514941338,false
joe,ken,1924-04-20,76,5.2422043211357785,false
rey,pol,1924-04-20,13,9.53343230290003,false
tom,tom,1924-04-20,86,2.215997716561664,false
kia,van,1924-04-20,77,6.643582666121912,false
ana,fox,1924-04-20,72,9.019546800334114,false
ben,leo,1924-04-20,2,9.654021863950998,true
mac,teo,1924-04-20,67,8.111683512927986,false
luz,sam,1924-04-20,32,6.546504112569819,false
fox,mac,1924-04-20,83,6.684073357967494,false
max,leo,1924-04-20,96,9.510687779350885,false
teo,leo,1924-04-20,44,5.463423355637179,false
mar,mac,1924-04-20,85,7.0021207188203105,true
ana,max,1924-04-20,1,0.768051493484595,false
ada,pol,1924-04-20,44,8.785454604880606,false
gio,pol,1924-04-20,87,2.902488527769677,false
ada,zoe,1924-04-20,87,1.4179313987972564,false
pau,ada,1924-04-20,59,6.9922737743409265,false
tom,mar,1924-04-20,34,8.072195984069117,false
teo,tim,1924-04-20,38,4.192412596617019,false
pau,luz,1924-04-20,59,7.501524539169901,false
kia,ken,1924-04-20,96,5.947768324553667,false
leo,max,1924-04-20,33,4.359193196033501,false
van,jim,1924-04-20,86,1.9402552033642195,false
ana,fox,1924-04-20,87,0.687317358776729,true
riu,tom,1924-04-20,47,7.086731315847407,false
tom,luz,1924-04-20,79,3.62413832665355,false
pol,tom,1924-04-20,3,8.229680018051083,false
tom,zoe,1924-04-20,6,2.0492700882808066,false
van,fox,1924-04-20,15,2.3709557876864764,false
zoe,luz,1924-04-20,78,9.653902395680374,false
