CALLER,CALLED,DAY_DT,DURATION,PRICE,INTERNATIONAL
teo,bob,1924-04-19,72,4.993723490397684,false
kia,noa,1924-04-19,38,9.621663251930396,false
tim,noa,1924-04-19,8,9.124068853014238,false
fox,eli,1924-04-19,57,3.5008455194308064,true
rey,mac,1924-04-19,77,8.845538943561726,true
ben,ben,1924-04-19,14,1.71380961349054,false
van,pau,1924-04-19,33,4.831912559330985,false
noa,zoe,1924-04-19,39,0.07976952901674994,true
ana,van,1924-04-19,62,1.1416819594096728,false
ada,ken,1924-04-19,39,1.544245092811346,true
leo,ana,1924-04-19,66,8.39015162912951,false
van,leo,1924-04-19,66,3.3405345378291376,false
pau,kia,1924-04-19,1,7.306143244472052,false
max,noa,1924-04-19,24,6.21370857321107,false
ada,ada,1924-04-19,98,6.254504769291317,false
luz,mar,1924-04-19,70,6.069472819457159,false
fox,jim,1924-04-19,69,8.435808475797016,false
eva,kia,1924-04-19,82,6.739220283666665,false
leo,bob,1924-04-19,51,4.836544470152066,false
jim,bob,1924-04-19,20,1.420519828594965,false
eli,fox,1924-04-19,2,0.1533120604988858,false
sam,kia,1924-04-19,42,7.657891437152498,false
kia,kia,1924-04-19,69,0.8763546115439369,true
tom,max,1924-04-19,8,8.347357479347759,false
luz,noa,1924-04-19,29,9.872521573806639,true
pol,mar,1924-04-19,23,1.8953087834535298,false
noa,tom,1924-04-19,58,9.206696662336833,false
max,luz,1924-04-19,74,1.7704435927243967,true
jim,leo,1924-04-19,68,2.8726296045289845,false
max,pau,1924-04-19,46,2.376993483795209,false
pol,sam,1924-04-19,21,4.926160559760573,false
rey,sam,1924-04-19,1,5.635054601757208,true
mac,rey,1924-04-19,55,2.148369017009313,true
rey,jim,1924-04-19,17,9.746252322873843,false
luz,luz,1924-04-19,27,0.3037811986854644,false
rey,mar,1924-04-19,91,1.9398068618906361,false
pol,zoe,1924-04-19,17,3.492747655344491,true
gio,leo,1924-04-19,41,9.328715783401648,false
teo,van,1924-04-19,68,5.038557561378989,false
mac,teo,1924-04-19,95,0.09514632369135523,false
sam,rey,1924-04-19,87,7.920532482916883,false
teo,teo,1924-04-19,9,7.273605956951844,false
ana,mac,1924-04-19,65,3.0191818534492434,false
tim,pau,1924-04-19,89,6.48082560784506,false
ken,tom,1924-04-19,85,5.6646448769689925,false
pau,leo,1924-04-19,76,6.491732731924489,false
joe,max,1924-04-19,96,5.008743150401607,false
tim,joe,1924-04-19,94,9.247232476985904,true
ken,kia,1924-04-19,36,8.036809825964523,true
noa,sam,1924-04-19,93,6.703288518673235,true
leo,fox,1924-04-19,17,0.5423177986294103,true
tom,pau,1924-04-19,13,3.7510217488106212,false
bob,tom,1924-04-19,56,0.8601288654929073,false
ana,gio,1924-04-19,45,8.661147972733763,false
van,bob,1924-04-19,4,1.8862451732563934,false
gio,rey,1924-04-19,11,2.643440749507463,false
rey,eli,1924-04-19,86,0.9946966674863633,false
tom,eva,1924-04-19,0,1.3563044830585291,false
noa,rey,1924-04-19,36,4.836722907991654,true
gio,teo,1924-04-19,92,7.564475395927244,false
joe,mar,1924-04-19,29,9.177856956955258,false
max,jim,1924-04-19,36,8.178218944101713,false
joe,max,1924-04-19,53,4.4440323800037005,false
tom,tom,1924-04-19,56,4.219531260862036,false
van,jim,1924-04-19,43,5.377935072669572,false
ada,zoe,1924-04-19,58,9.665385821813246,false
rey,teo,1924-04-19,96,5.430706598034685,true
teo,eli,1924-04-19,51,6.130768047433355,false
noa,max,1924-04-19,49,6.325191643252942,true
max,tim,1924-04-19,23,5.804407363294693,false
bob,mar,1924-04-19,20,2.540664357173613,false
fox,bob,1924-04-19,12,2.942835117428826,false
fox,pol,1924-04-19,2,0.1400544483252142,false
ken,teo,1924-04-19,81,0.8418568288238248,false
joe,tom,1924-04-19,34,5.261820369977364,false
riu,kia,1924-04-19,76,5.182124774269702,false
leo,fox,1924-04-19,75,6.684048786328951,true
ada,tim,1924-04-19,34,7.608525399247242,false
noa,fox,1924-04-19,90,5.715339205155793,false
joe,gio,1924-04-19,55,5.8064629118477775,false
leo,fox,1924-04-19,3,1.4626745987082734,false
mar,eva,1924-04-19,54,9.960953277820026,false
max,kia,1924-04-19,19,9.723503289820366,false
tim,gio,1924-04-19,58,8.851155903942743,true
